SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,OfferKey,_Key
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/appledeo,4.37,Fixed,No,,12,12.5,0,Yes,Mention Promo Code APPLEDEO.,Mention Promo Code APPLEDEO.,f9fb09020e38827965cb7ed6829e0705e5685120,f9fb09020e38827965cb7ed6829e0705e5685120
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,TX,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_SVC_DUAL_FP_IPAD_ENG_V11_JUL_10_20.pdf,https://justenergy.com/ohapplestoapples/,5.99,Fixed,No,,60,50,0,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,5adb201860c3cae8ca736693a0c8f79769f4ba17,5adb201860c3cae8ca736693a0c8f79769f4ba17
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-live-brighter-12?msid=5360,5.69,Fixed,No,,12,0,0,No,,New Customers Only,1ddfb95b415a4bd924d10386fcb3196004b18964,1ddfb95b415a4bd924d10386fcb3196004b18964
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.48,Fixed,No,,18,0,0,No,,,48c2ad16d67ef79c6ef104dbf91b7469108fae3a,48c2ad16d67ef79c6ef104dbf91b7469108fae3a
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com/enrollment/Step3,https://www.shipleyenergy.com/enrollment?product=ng,5.2,Variable,No,,1,0,0,No,,Variable term,4380b93c5f9e9e252ac9ac548449d65f955603c4,4380b93c5f9e9e252ac9ac548449d65f955603c4
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=54BBFC99-3273-413D-B99D-FC4A0E242661&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=54BBFC99-3273-413D-B99D-FC4A0E242661&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.69,Fixed,No,,36,0,0,No,,Get peace of mind with a fixed rate for 36 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,4e4ede0f7a6a393d891d767c060026941e5b92b9,4e4ede0f7a6a393d891d767c060026941e5b92b9
Provision,Energy 95 LLC,P.O Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/05/080-1.pdf,https://www.getprovision.com/enroll-step-2/?utility=DEO,2.99,Variable,Yes,$2.99/Mcf first month  then monthly variable rate,1,0,0,Yes,$4.39/Mcf first month  then monthly variable rate,$2.99/Mcf first month  then monthly variable rate,3174389acc62b6f4e93ba848c68fa66b45f3a0d2,3174389acc62b6f4e93ba848c68fa66b45f3a0d2
Major Energy Services LLC,Major Energy Services LLC,12140 Wickchester Ln Suite #100,Ste 100,Houston,TX,77079,(888) 625-6760,https://majorenergy.com/,https://majorenergy.com/enroll/?getproductpdf=1&PromotionCode=&ProductID=149952&type=TOS&title=Terms+of+Service,https://majorenergy.com/enroll/,5.65,Fixed,No,,12,0,0,No,,A great choice for new customers to lock in a fixed rate. Enjoy peace of mind with a consistent rate for 12 months. With this energy plan  there is no monthly service fee and no early termination fee.,eb5ffc0342cb0113a96a05c48dd1c79f3aa9174b,eb5ffc0342cb0113a96a05c48dd1c79f3aa9174b
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,2.85,Variable,Yes,Enjoy the first month of gas at $2.85/mcf followed by a monthly variable price that follows the MRR rate,1,0,0,Yes,Enjoy the first month of gas at $2.85/mcf followed by a monthly variable price that follows the MRR rate,Enjoy the first month of gas at $2.85/mcf followed by a monthly variable price that follows the MRR rate,b0971653b53e75314672e6cfad1a3914258b486d,b0971653b53e75314672e6cfad1a3914258b486d
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=0E777ADC-F37A-4448-9E55-5E84F0EA6899&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=0E777ADC-F37A-4448-9E55-5E84F0EA6899&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.49,Fixed,No,,18,0,0,No,,Get peace of mind with a fixed rate for 18 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,9ec0855e99485a6d474b26c84bfd263361497d32,9ec0855e99485a6d474b26c84bfd263361497d32
SFE Energy Ohio  Inc,SFE Energy Ohio  Inc,PO BOX 967,,Buffalo,NY,14240-0967,(866) 255-3844,https://www.sfeenergy.com/,https://signup.sfeenergy.com/terms-of-use.html,https://www.sfeenergy.com/ohio/,8.19,Fixed,No,,12,7.5,0,Yes,Receive 4 FREE LED bulbs after 2 months (60 calendar days) of consecutive flow with the company.,Our fixed-price energy plan provides rate stability. This is a 12-month fixed rate plan exclusively for Enbridge Gas of Ohio (Dominion) customers only.,a62f0cd70e2969845fd702e631526007e426ec31,a62f0cd70e2969845fd702e631526007e426ec31
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,4.54,Fixed,No,,12,10,0,No,,WE DO NOT SERVICE DOMINION WEST OHIO,bcf4b62b1220fb2b0ef749f2477abaaf05be1864,bcf4b62b1220fb2b0ef749f2477abaaf05be1864
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,4.85,Fixed,No,,6,0,0,No,,Shopping for Natural Gas Supply just got EASY! No monthly fee  no cancellation fee  and best of all a LOW fixed price to take control of your energy costs. Plus earn 3% REWARDS with Shipley Energy's Rewards Program. For New,0acb568b2ee75ba726080f3a2793317c8eb0814c,0acb568b2ee75ba726080f3a2793317c8eb0814c
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,4.99,Fixed,No,,12,0,0,No,,Making an impact has never been easier - Choose Shipley’s Carbon Neutral Gas offer to offset 100% of your home's natural gas emissions. No monthly fees and no cancellation fees. Plus lock in this low fixed rate today and you’ll earn 3% REWARDS through Shipley Energy's Rewards Program. For New Customers Only.,71b62336ac91dd67447d8ed97859f413498217e6,71b62336ac91dd67447d8ed97859f413498217e6
Utility Gas and Power,LE Energy LLC,2680 Corporate Park Dr,Ste 100,Opelika,AL,36801,(855) 747-4931,www.utilitygasandpower.com,https://www.utilitygasandpower.com/gas-tc,https://www.utilitygasandpower.com/enroll?referral=a2a&rate=6.99-12mos,6.99,Fixed,No,,12,150,0,No,,Guaranteed fixed rate with price protection!,c3efb4cd07412c433932d606952b572d38326343,c3efb4cd07412c433932d606952b572d38326343
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com,https://xoomenergy.com/uploads/rates/terms-email/360655-en.pdf,http://xoomenergy.com/en/residential/ohio/dominion-east-of-ohio?der=73,5.79,Fixed,No,,12,110,0,No,,XOOM Energy's SureLock 12 fixed rate product,74d083e8c8b63b687fd408281be5a2d7510df86a,74d083e8c8b63b687fd408281be5a2d7510df86a
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,4.99,Fixed,No,,36,0,0,Yes,Fixed rate 36 with $50/month in Symmetry Rewards,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of,71b62336ac91dd67447d8ed97859f413498217e6,71b62336ac91dd67447d8ed97859f413498217e6
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,4 Houston Center   1221 Lamar Street   Suite 750,,Houston,TX,77010,(855) 465-1244,http://www.constellation.com/rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=6355,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,7.29,Variable,No,,1,0,0,No,,Monthly MVR Rate,6391640714a891d41f0624c928caa691da86ddb6,6391640714a891d41f0624c928caa691da86ddb6
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,4.79,Variable,No,,1,0,0,No,,Variable prices may change or remain the same each month. The August 2025 variable rate is 4.7900/Mcf.,8c3dd8f795fce64d2543b194f3f299e6ec079942,8c3dd8f795fce64d2543b194f3f299e6ec079942
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.19,Variable,No,,1,0,0,No,,Monthly Variable Rate Plan - MVR Customers Only,ba795c3f40f81cad515a1d39a18a2bb0ee4eaa61,ba795c3f40f81cad515a1d39a18a2bb0ee4eaa61
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,6.99,Fixed,No,,24,149,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,c3efb4cd07412c433932d606952b572d38326343,c3efb4cd07412c433932d606952b572d38326343
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,5.77,Fixed,No,,12,12.5,0,No,Offset your Carbon Footprint by making your gas usage Carbon Neutral. Sign up with Greener Life from Ohio Natural Gas today!,Sign up with Greener Life from Ohio Natural Gas today.,f7693aa69d1a38f3b415822c60b85418a2499e8e,f7693aa69d1a38f3b415822c60b85418a2499e8e
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,OH,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=92&promocode=APPLESZERO,4.99,Fixed,No,,24,150,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,71b62336ac91dd67447d8ed97859f413498217e6,71b62336ac91dd67447d8ed97859f413498217e6
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,6.99,Fixed,No,,24,149,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,c3efb4cd07412c433932d606952b572d38326343,c3efb4cd07412c433932d606952b572d38326343
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.19,Variable,No,,12,0,0,No,,Current Managed Price rate is $5.19000 per Mcf for August 2025. This rate may or may not be the monthly rate you pay based on your service start date on this plan. The rate may remain the same or may change monthly. See contract.,ba795c3f40f81cad515a1d39a18a2bb0ee4eaa61,ba795c3f40f81cad515a1d39a18a2bb0ee4eaa61
Median Energy Corp,Median Energy Corp,1 lethbridge plaza,ste 2,mahwah,NJ,07430,(888) 316-5443,www.medianenergy.com,https://static1.squarespace.com/static/5773a908e6f2e1fedd359c1b/t/5bbe3234a4222f91c8771369/1539191349399/Median+OH+Terms+and+Conditions+.pdf,http://www.medianenergy.com/sign-up/,8,Variable,No,,0,0,0,No,,,fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f,fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,TX,77002,(855) 465-1244,http://www.constellation.com/Rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=231,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,5.49,Fixed,No,,12,150,0,No,,,d5f2a4b1232c1ee1d298f5b0835367c583b197b1,d5f2a4b1232c1ee1d298f5b0835367c583b197b1
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,OH,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=92&promocode=APPLESZERO,4.79,Fixed,No,,12,75,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,8c3dd8f795fce64d2543b194f3f299e6ec079942,8c3dd8f795fce64d2543b194f3f299e6ec079942
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,7.49,Fixed,No,,36,199,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,b4b6ee597db838cfc830bce928ccc06694407ef8,b4b6ee597db838cfc830bce928ccc06694407ef8
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,5.99,Fixed,No,,12,99,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,5adb201860c3cae8ca736693a0c8f79769f4ba17,5adb201860c3cae8ca736693a0c8f79769f4ba17
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,4.15,Variable,No,,1,0,0,No,,$4.15 per MCF for the first month which is subject to change on a month to month basis.,1fc4468465d8cb0e739031fae9ea44e4bb727a23,1fc4468465d8cb0e739031fae9ea44e4bb727a23
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com,https://xoomenergy.com/uploads/rates/terms-email/361705-en.pdf,http://xoomenergy.com/en/residential/ohio/dominion-east-of-ohio?der=1901,5.99,Fixed,No,,24,200,0,No,,SureLock 24,5adb201860c3cae8ca736693a0c8f79769f4ba17,5adb201860c3cae8ca736693a0c8f79769f4ba17
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,5.57,Fixed,No,,18,12.5,0,No,,,21c490dca5e3e7751c8358880098e501a11de25a,21c490dca5e3e7751c8358880098e501a11de25a
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,4.75,Fixed,No,,12,0,0,Yes,Fixed rate 12 with $50/month in Symmetry Rewards,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of,089087ffb0d1619a30737a57d5a5f5975d57b47f,089087ffb0d1619a30737a57d5a5f5975d57b47f
nTherm  LLC,nTherm  LLC,1321 Upland Dr #19675,,Houston,TX,77043,(888) 865-3402,www.ntherm.com,https://www.ntherm.com/sites/default/files/2023-12/oh_gas_tos.pdf,www.ntherm.com,3.19,Variable,Yes,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,1,0,0,No,,,0bacfaf4756f1210811f3e4496c6fe1cdb0828fb,0bacfaf4756f1210811f3e4496c6fe1cdb0828fb
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,20th Floor,Columbus,OH,43215,(877) 648-1922,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_24,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_24,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_24,5.89,Fixed,No,,24,0,0,Yes,Enroll in this price plan and you’ll receive up to $72 Reward Dollars over the course of the plan to use in AEP Energy Reward Store  our one-stop online marketplace filled with a variety of energy-saving products for your home  available exclusively for AEP Energy customers!  Offer is valid for both new and existing customers. For more information  visit AEPenergyrewardstore.com.,This offer is limited to residential customers of Dominion East Ohio and is valid for both new and existing customers. Please Note: You will need to provide your zip code to see if the respective offer appears and will be available to you. Based upon zip code  this offer is not available to all customers of Dominion East Ohio.,3e4cf6a528e459dfb470385ddd564438c40bf78b,3e4cf6a528e459dfb470385ddd564438c40bf78b
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-state-fixed?msid=5360,5.19,Fixed,No,,8,0,0,No,,New Customers Only,ba795c3f40f81cad515a1d39a18a2bb0ee4eaa61,ba795c3f40f81cad515a1d39a18a2bb0ee4eaa61
