SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,4.39,Fixed,No,,12,10,0,No,,WE DO NOT SERVICE DOMINION WEST OHIO,HK::bc476a51b0cf7a9dff840637e734d304c411c3ca,My Choice Energy LLC,4.39,12
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,TX,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_SVC_DUAL_FP_IPAD_ENG_V11_JUL_10_20.pdf,https://justenergy.com/ohapplestoapples/,5.99,Fixed,No,,60,50,0,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,HK::da618bdc041bb88da941c02c8b65a7b3372daa40,Just Energy,5.99,60
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,4.99,Fixed,No,,12,0,0,No,,Making an impact has never been easier - Choose Shipley’s Carbon Neutral Gas offer to offset 100% of your home's natural gas emissions. No monthly fees and no cancellation fees. Plus lock in this low fixed rate today and you’ll earn 3% REWARDS through Shipley Energy's Rewards Program. For New Customers Only.,HK::cf8741578093293e45e8ea3299988c2361c5695a,Shipley Choice  LLC,4.99,12
Kratos Gas & Power,United Energy Trading LLC,225 Union Boulevard,,Lakewood,OH,80228,(800) 296-2203,www.ohio.kratosgp.com,www.ohio.kratosgp.com,www.ohio.kratosgp.com,6.25,Variable,No,,12,0,0,No,,Standard month-to-month variable rate.  No cancellation fees.,HK::2d9a48ba22ac44e62f42fef8a74819512372b1ec,Kratos Gas & Power,6.25,12
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,7.49,Fixed,No,,36,199,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,HK::a7f1b2e9769507dd1f65728fa8da91dd139f4923,IGS Energy,7.49,36
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,5.99,Fixed,No,,12,99,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,HK::c536db2387e71c50c9b1a8f43f96a5ceb1a7b594,IGS Energy,5.99,12
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,6.99,Fixed,No,,24,149,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,HK::67bcabacfd3f2bae4b4b89cba32476a0deb7961b,IGS Energy,6.99,24
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Ste. 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.68,Fixed,No,,36,0,0,No,,,HK::c047a22646b843d244beee40d27dc8d4db545175,Mercury Energy Marketing LLC,4.68,36
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=54BBFC99-3273-413D-B99D-FC4A0E242661&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=54BBFC99-3273-413D-B99D-FC4A0E242661&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.69,Fixed,No,,36,0,0,No,,Get peace of mind with a fixed rate for 36 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::58007c7f6efc2145c0d2a72d49714b67ff8b523b,Ohio Gas & Electric,4.69,36
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,5.57,Fixed,No,,24,12.5,0,No,,,HK::757c95d3c9665561ca08c4a00bb91a071267a024,Ohio Natural Gas,5.57,24
Barracuda Energy LLC,Barracuda Energy LLC,100 E Campus,Suite 250,Columbus,OH,43235,(833) 628-4278,www.barracudagas.com,https://barracudagas.com/,https://barracudagas.com/,5.95,Fixed,No,,12,0,0,No,,,HK::459585c59de32f95628c06ad2623612c85688d3b,Barracuda Energy LLC,5.95,12
Provision,Energy 95 LLC,P.O. Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/06/0120-3.pdf,https://www.getprovision.com/enroll-step-2/?utility=DEO,6.9,Fixed,No,,12,0,0,No,,$6.90/mcf fixed for 12 months,HK::db37c3123edd6391ebe916e1efe307880c9abbc4,Provision,6.9,12
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,TX,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=92&promocode=APPLESZERO,4.99,Fixed,No,,6,50,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,HK::9d8ed2fb0f8af218af015a0f3ac5dcc041b4a616,CleanSky Energy,4.99,6
NRG Home,Reliant Energy Northeast LLC,P.O. Box 38781,,Philadelphia,PA,19104,(855) 500-8703,https://www.picknrg.com/en/lp/mp/ohio-choice.html,https://www.picknrg.com/en/lp/mp/ohio-choice.html,https://www.picknrg.com/en/lp/mp/ohio-choice.html,3.69,Fixed,No,,1,0,0,Yes,A month-to-month variable-price plan featuring a $15 enrollment bonus after 3 months of  active service  and 1% cash back annually for every $1 spent on the supply portion of monthly  residential natural gas bills. The account must be active for 12 consecutive months to receive  the cash back reward.,$15 enrollment bonus after 3 months of active service  and 1% cash back annually. New Customers Only.,HK::f92ce6a12ba8b763860275d68559d4d69367a7e2,NRG Home,3.69,1
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=0E777ADC-F37A-4448-9E55-5E84F0EA6899&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=0E777ADC-F37A-4448-9E55-5E84F0EA6899&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.49,Fixed,No,,18,0,0,No,,Get peace of mind with a fixed rate for 18 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::c93a393b7e08c03c25d1b5f6684d28a93966ffd7,Ohio Gas & Electric,4.49,18
Provision,Energy 95 LLC,P.O Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/05/080-1.pdf,https://www.getprovision.com/enroll-step-2/?utility=DEO,2.99,Variable,Yes,$2.99/Mcf first month  then monthly variable rate,1,0,0,Yes,$4.39/Mcf first month  then monthly variable rate,$2.99/Mcf first month  then monthly variable rate,HK::4c67c88b2bf723a6e10e7c9c2002b218640f215e,Provision,2.99,1
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,4.85,Fixed,No,,6,0,0,No,,Shopping for Natural Gas Supply just got EASY! No monthly fee  no cancellation fee  and best of all a LOW fixed price to take control of your energy costs. Plus earn 3% REWARDS with Shipley Energy's Rewards Program. For New,HK::cf8741578093293e45e8ea3299988c2361c5695a,Shipley Choice  LLC,4.85,6
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com,https://xoomenergy.com/uploads/rates/terms-email/361705-en.pdf,http://xoomenergy.com/en/residential/ohio/dominion-east-of-ohio?der=1901,5.99,Fixed,No,,24,200,0,No,,SureLock 24,HK::608c6143ee44c0b35087ea00410a323f0d718c84,XOOM Energy Ohio LLC,5.99,24
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,TX,77002,(855) 465-1244,http://www.constellation.com/Rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=231,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,5.49,Fixed,No,,12,150,0,No,,,HK::500703050070acf5ba89b9fbf81df615fcdc7a28,Constellation NewEnergy-Gas Division LLC,5.49,12
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,7.08,Fixed,No,,48,0,0,No,,,HK::c047a22646b843d244beee40d27dc8d4db545175,Mercury Energy Marketing LLC,7.08,48
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,4.15,Variable,No,,1,0,0,No,,$4.15 per MCF for the first month which is subject to change on a month to month basis.,HK::bd5f64204afbf3558804329c32724e45a543871b,Eastern Power and Gas LLC,4.15,1
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,6.25,Fixed,No,,6,0,0,No,,$6.25 per MCF for the first 6 months  then a monthly variable rate,HK::c7b882ac79870dd0bc842330673f9d0118c0d813,Eastern Power and Gas LLC,6.25,6
Clearview Electric Inc,Clearview Electric Inc,901 Main Street STE 4700,,Dallas,TX,75202,(888) 512-8994,https://www.clearviewenergy.com/states/pa/,https://www.clearviewenergy.com/documents/tos/?productNum=402464,https://www.clearviewenergy.com/enrollment/?utilityid=&utilityidG=105&utilityname=&utilitynameG=Dominion&ctype=RESI&utility-state=oh&productNum=402464,6.409,Variable,No,,1,0,0,No,,NaturalAssurance12: A Month-to-Month Variable MCF Rate Product  with a promotional term for 12 billing cycles.,HK::c51c187a23134bae07393bbf009bdfce57a66dc0,Clearview Electric Inc,6.409,1
Nordic Energy Services LLC,Nordic Energy Services LLC,1 Tower Lane  Ste. 300,,Oakbrook Terrace,IL,60181,(877) 808-1022,https://www.nordicenergy-us.com/,https://www.nordicenergy-us.com/,https://www.nordicenergy-us.com/,3.39,Variable,No,,2,0,0,Yes,Fixed rate of 3.39/MCF for two months then defaults to a variable rate. No early termination fees!,Fixed rate of 3.39/MCF for two months then defaults to a variable rate. No early termination fees!,HK::b5c10011e1b5f50f651c1b1f09d674f71d55357d,Nordic Energy Services LLC,3.39,2
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,4.99,Fixed,No,,36,0,0,Yes,Fixed rate 36 with $50/month in Symmetry Rewards,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of,HK::4648607c46f0edec87f4a5916a3d249f2704525f,Symmetry Energy Solutions LLC,4.99,36
XOOM Energy Ohio LLC,XOOM Energy Ohio LLC,804 Carnegie Center,,Princeton,NJ,08540,(888) 997-8979,http://xoomenergy.com/en,https://xoomenergy.com/uploads/rates/terms-email/358214-en.pdf,http://xoomenergy.com/en/residential/ohio/dominion-east-of-ohio?der=3858,5.99,Fixed,No,,12,110,0,Yes,Get the peace of mind you deserve with our RescueLock 12 fixed rate plan!  Enroll on RescueLock 12 and 5% of your monthly energy charges will be donated to PetSmart Charities!*,RescueLock 12,HK::fd3dc98d4a69354f8bd53a7ed2d0976427265e3b,XOOM Energy Ohio LLC,5.99,12
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,20th Floor,Columbus,OH,43215,(877) 648-1922,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_12,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_12,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-deo&utm_source=A2A&utm_medium=shopping&utm_campaign=deo_12,5.69,Fixed,No,,12,0,0,Yes,Enroll in this price plan and you’ll receive up to $36 Reward Dollars over the course of the plan to use in AEP Energy Reward Store  our one-stop online marketplace filled with a variety of energy-saving products for your home  available exclusively for AEP Energy customers!  Offer is valid for both new and existing customers. For more information  visit AEPenergyrewardstore.com.,This offer is limited to residential customers of Dominion East Ohio and is valid for both new and existing customers. Please Note: You will need to provide your zip code to see if the respective offer appears and will be available to you. Based upon zip code  this offer is not available to all customers of Dominion East Ohio.,HK::fe1aca6ef75ca9739c1d33aabe03715c604678a9,AEP Energy Inc,5.69,12
Utility Gas and Power,LE Energy LLC,2680 CORPORATE PARK DR,STE 100,Opelika,AL,36801,(855) 747-4931,www.utilitygasandpower.com,https://www.utilitygasandpower.com/gas-tc,https://www.utilitygasandpower.com/enroll?referral=a2a&rate=4.99-12mos,4.99,Fixed,No,,12,150,0,No,,Guaranteed fixed rate for 12 months and UGP Price Protection!,HK::386903dc0676a8b75a073e810104dd9e9d2d95c5,Utility Gas and Power,4.99,12
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,4.75,Fixed,No,,12,0,0,Yes,Fixed rate 12 with $50/month in Symmetry Rewards,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of,HK::4648607c46f0edec87f4a5916a3d249f2704525f,Symmetry Energy Solutions LLC,4.75,12
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.48,Fixed,No,,18,0,0,No,,,HK::c047a22646b843d244beee40d27dc8d4db545175,Mercury Energy Marketing LLC,4.48,18
nTherm  LLC,nTherm  LLC,1321 Upland Dr #19675,,Houston,TX,77043,(888) 865-3402,www.ntherm.com,https://www.ntherm.com/sites/default/files/2023-12/oh_gas_tos.pdf,www.ntherm.com,3.19,Variable,Yes,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,1,0,0,No,,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,HK::45ea51f3a5a3d726c42981cf159501198d079aab,nTherm  LLC,3.19,1
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,5.37,Fixed,No,,6,12.5,0,No,,Sign up with Greener Life from Ohio Natural Gas today.,HK::1bee3263d941804382a366707c7ef50cbe926cc6,Ohio Natural Gas,5.37,6
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/terms-of-service/,https://mercuryenergyohio.com/plans/,9.98,Fixed,No,,120,0,0,No,,'Forever Gas!' Sign up for 'Forever Gas' and never worry about gas shopping again! Want out? No termination fees!,HK::4b7266ce659287fa6fb08cbc65ed9b8a0011976f,Mercury Energy Marketing LLC,9.98,120
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,5.99,Fixed,No,,3,0,0,No,,$5.99 per MCF for the first 3 months  then a monthly variable rate,HK::c7b882ac79870dd0bc842330673f9d0118c0d813,Eastern Power and Gas LLC,5.99,3
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,OH,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=92&promocode=APPLESZERO,4.99,Fixed,No,,24,150,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,HK::4f838b10798126f6f498f9da61c82c3608bde404,CleanSky Energy,4.99,24
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,2.85,Variable,Yes,Enjoy the first month of gas at $2.85/mcf followed by a monthly variable price that follows the MRR rate,1,0,0,Yes,Enjoy the first month of gas at $2.85/mcf followed by a monthly variable price that follows the MRR rate,Enjoy the first month of gas at $2.85/mcf followed by a monthly variable price that follows the MRR rate,HK::e9b0a84cb2dcfb5449891c562557647679047f53,Mercury Energy Marketing LLC,2.85,1
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,6.59,Fixed,No,,36,10,0,No,,WE DO NOT SERVICE DOMINION WEST OHIO,HK::bc476a51b0cf7a9dff840637e734d304c411c3ca,My Choice Energy LLC,6.59,36
