SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,AEP HQ Building 20th floor,Columbus,OH,43215,(866) 935-5541,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=24mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=24mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=24mos,5.19,Fixed,No,,24,25,0,No,,This offer is limited to small business customers of Enbridge Gas Ohio only.  This rate is only available over the phone.  Please call us at 1-866-935-5541 to sign up today!,HK::104af16affe8f1b874ecb86b0b108ea90b962119,AEP Energy Inc,5.19,24,25
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.09,Variable,No,,12,0,0,No,,Current Managed Price rate is $5.09000 per Mcf for December 2025. This rate may or may not be the monthly rate you pay based on your service start date on this plan. The rate may remain the same or may change monthly. See contract.,HK::74e8e4f17b9f8420adbe6a9821f0369902c45120,Symmetry Energy Solutions LLC,5.09,12,0
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(888) 995-0992,www.igsenergy.com,www.igsenergy.com,https://igs.com/signup/,5.424,Variable,No,,1,0,0,No,,MRR Rate - This offer is not available for enrollment.,HK::e59152b7097ff2a37d1a71ee1f1669eaa0ff4b5c,IGS Energy,5.424,1,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/terms-of-service/,https://mercuryenergyohio.com/plans/,4.38,Variable,No,Enjoy the first month of gas at $4.38/mcf followed by a monthly variable price that follows the MRR rate,1,0,0,No,Enjoy the first month of gas at $4.38/mcf followed by a monthly variable price that follows the MRR rate,Enjoy the first month of gas at $4.38/mcf followed by a monthly variable price that follows the MRR rate,HK::8b958af62ec0d172aaa8a620a06648b6ea77177e,Mercury Energy Marketing LLC,4.38,1,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/dom/small-business/,https://mercuryenergyohio.com/plans/dom/small-business/,4.88,Fixed,No,,6,0,0,No,,,HK::d2ad35c3d73c28f1e0a2e4d594614461f1b1a4f1,Mercury Energy Marketing LLC,4.88,6,0
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://shipleyenergy.com,https://www.shipleyenergy.com/enrollment?express=258,5.15,Fixed,No,,12,0,0,No,,Shopping for Natural Gas Supply just got EASY! No monthly fee  no cancellation fee  and best of all a LOW fixed price to take control of your energy costs. Lock in this low fixed rate today!,HK::50b9dc39c3855acba03836341f9f06145a8b88db,Shipley Choice  LLC,5.15,12,0
Barracuda Energy LLC,Barracuda Energy LLC,100 E. Campus,Suite 250,Columbus,OH,43235,(833) 628-4874,www.barracudagas.com,www.barracudagas.com,www.barracudagas.com,5.42,Variable,No,,1,0,0,No,MRR only,,HK::bb769ebbc6d6e954162525dd7d7f49e74487097c,Barracuda Energy LLC,5.42,1,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=948BDBC8-BA8F-4D4B-B977-C6DD101172F4&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=948BDBC8-BA8F-4D4B-B977-C6DD101172F4&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.79,Fixed,No,,36,0,0,No,,Get peace of mind with a fixed rate for 36 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,4.79,36,0
WRW Energy LLC,WRW Energy LLC,10123 Alliance Rd,,Blue Ash,OH,45242-4887,(855) 979-4968,www.WRWApplesToApples.com,www.WRWApplesToApples.com,www.WRWApplesToApples.com,5.57,Variable,No,,1,0,0,No,,,HK::95626e1f4b73757564afea2830c5805ed15ce8d3,WRW Energy LLC,5.57,1,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/dom/small-business/,https://mercuryenergyohio.com/plans/dom/small-business/,4.48,Fixed,No,,18,0,0,No,,,HK::d2ad35c3d73c28f1e0a2e4d594614461f1b1a4f1,Mercury Energy Marketing LLC,4.48,18,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=16BDD588-1E79-4421-BD16-BEA52B3B2612&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=16BDD588-1E79-4421-BD16-BEA52B3B2612&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.59,Fixed,No,,12,0,0,No,,Get peace of mind with a fixed rate for 12 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,4.59,12,0
Winged Foot Energy LLC,Winged Foot Energy LLC,1100 W 23rd Suite 214,,Houston,TX,77008,(800) 347-5501,Wingedfootenergy.com,Wingedfootenergy.com,Wingedfootenergy.com,5.49,Variable,No,,1,0,0,No,,,HK::583d7b912307a7c7ff2fdbf740a5dae4686b7fad,Winged Foot Energy LLC,5.49,1,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=AB7AD4BA-1D97-431E-9547-AC1C6A3AA177&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=AB7AD4BA-1D97-431E-9547-AC1C6A3AA177&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=FF727EDA-27C5-4187-9B36-D7566A897732&RFID=PUCO&PUC=2&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.69,Fixed,No,,24,0,0,No,,Get peace of mind with a fixed rate for 24 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,4.69,24,0
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.35,Fixed,No,,36,0,0,Yes,Symmetry Rewards 36,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of mind knowing exactly what your natural gas rate will be regardless of any increasing costs of natural gas in the market,HK::3a0f668368a5a93b4699c7be9c223273951d08fd,Symmetry Energy Solutions LLC,5.35,36,0
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Raod,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,5.69,Fixed,No,,24,20,0,No,,WE DO NOT SERVICE DOMINION WEST OHIO,HK::218d673b6396cf8f257cdd06a6cf1f39ff1eba08,My Choice Energy LLC,5.69,24,20
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,6.09,Fixed,No,,24,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,6.09,24,0
IGS Energy,Interstate Gas Supply LLC,6100 Emerald Parkway,,Dublin,OH,43016,(800) 280-4474,www.igsenergy.com,https://www.igs.com/signup,https://igs.com/signup/?campaignCode=Web-ApplesToApples&utm_campaign=referral-applestoapples-general&utm_source=applestoapples&utm_medium=referral,5.99,Fixed,No,,12,99,0,No,,Contribute to a brighter future by choosing this environmentally conscious product for your home. Our 100% Carbon Neutral Fixed Rate provides you with stability and predictability for the entire term length.,HK::ac6b0be1bb25d34f830558038e07e65c2b774824,IGS Energy,5.99,12,99
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.75,Fixed,No,,12,0,0,Yes,Symmetry Rewards 12,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of mind knowing exactly what your natural gas rate will be regardless of any increasing costs of natural gas in the market,HK::3a0f668368a5a93b4699c7be9c223273951d08fd,Symmetry Energy Solutions LLC,5.75,12,0
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,TX,77002,(855) 585-3935,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,5.49,Fixed,No,,12,150,0,No,,This offer is limited to small business customers of {LDC}.  This rate is only available over the phone. Please call us at 855-585-3935 to enroll.,HK::b2213a62f8ede99d308af22fa86779f4638517d2,Constellation NewEnergy-Gas Division LLC,5.49,12,150
Carnation Energy LLC,Carnation Energy LLC,1942 W Gray St,Suite 210,Houston,TX,77019,(800) 277-5946,carnationenergy.com,carnationenergy.com,carnationenergy.com,5.45,Variable,No,,1,0,0,No,,,HK::f7f3978d4cbab12d52f64c8145a66e64bc7315a4,Carnation Energy LLC,5.45,1,0
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com/enrollment/Step3,https://www.shipleyenergy.com/enrollment?product=ng,5.19,Variable,No,,1,0,0,No,,Variable term-MVR/MRR,HK::e1b0631975833739879c06ff2cb202bceb8bb0b3,Shipley Choice  LLC,5.19,1,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/terms-of-service/,https://mercuryenergyohio.com/plans/,4.58,Fixed,No,,24,0,0,No,,,HK::5b8c33d01b889e5f6aa465b338411913fc44eb64,Mercury Energy Marketing LLC,4.58,24,0
American Power & Gas of Ohio  LLC,American Power & Gas of Ohio  LLC,10601 S Belcher Rd,,Seminole,FL,33777,(888) 669-2365,https://americanpowerandgas.com/?page=2,https://apgwebfiles.blob.core.windows.net/apgpublicsite/OH-DEO-G-C-ENGLISH-VARIABLE.pdf,https://americanpowerandgas.com/?page=2,5.45,Variable,Yes,Price is set for first month and variable thereafter.,24,0,0,Yes,Our 25% rebate is available to all of our customers.   We have sent out over $2 400 000 in rebates. Are you getting one?,Our famous 25% rebate is available to all our customers.   We have sent out over $2 400 000 in rebates this year! Are you getting one?,HK::871eb1d479e4bcd2bd6dfa5d2ad199989f57b6da,American Power & Gas of Ohio  LLC,5.45,24,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=04&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=04&ldcCode=DEO,5.57,Fixed,No,,6,25,0,No,,Commercial customers only.,HK::ac1987173804455ef62ed894d81df8aa95813569,Ohio Natural Gas,5.57,6,25
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Ste 22,,Houston,TX,77002,(855) 585-3935,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,8.99,Variable,No,,1,0,0,No,,This offer is limited to small business customers of Enbridge Gas Ohio (Dominion).  This rate is only available over the phone. Please call us at 855-585-3935 to enroll.,HK::9428510832d306748bc05005306da762b8dd6ea8,Constellation NewEnergy-Gas Division LLC,8.99,1,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.58,Fixed,No,,24,0,0,No,,,HK::789a12878fee760646a29de6b2b901c98cb0387d,Mercury Energy Marketing LLC,4.58,24,0
CleanSky Energy,Titan Gas LLC,3355 West Alabama,,Houston,TX,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=59393,https://cleanskyenergy.com/,5.19,Variable,No,,1,0,0,No,Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 |  Email us: CustomerCare@TitanGasandPower.com,HK::216591a325afca37ee0d377768fbcee02a43d4ce,CleanSky Energy,5.19,1,0
nTherm  LLC,nTherm  LLC,1321 Upland Dr #19675,,Houston,TX,77043,(888) 865-3402,www.ntherm.com,https://www.ntherm.com/sites/default/files/2023-12/oh_gas_tos.pdf,www.ntherm.com,3.19,Variable,Yes,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,1,0,0,No,,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Electric Supplier,HK::672db797cbecac11d0e336e4ffff1faa303076a5,nTherm  LLC,3.19,1,0
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,6.09,Fixed,No,,36,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,6.09,36,0
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,AEP HQ Building 20th floor,Columbus,OH,43215,(866) 935-5541,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=36mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=36mos,https://www.aepenergy.com/small-business/request-a-sbs-quote?utm_source=A2A&utm_medium=DEO-Gas&utm_campaign=SmallBusinessShopping&utm_term=36mos,5.19,Fixed,No,,36,25,0,No,,This offer is limited to small business customers of Enbridge Gas Ohio only.  This rate is only available over the phone.  Please call us at 1-866-935-5541 to sign up today!,HK::104af16affe8f1b874ecb86b0b108ea90b962119,AEP Energy Inc,5.19,36,25
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 1950,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,7.08,Fixed,No,,48,0,0,No,,,HK::789a12878fee760646a29de6b2b901c98cb0387d,Mercury Energy Marketing LLC,7.08,48,0
Eastern Power and Gas LLC,Eastern Power and Gas LLC,20801 Biscayne Blvd suite 403,,Miami,FL,33180,(877) 799-3637,Easternpng.com,https://easternpng.com/energy-ratings/puco-approved-ohio-docs/Ohio_Energy_Ratings_FR_Contract_Terms_and_Conditions.pdf,https://easternpng.com/interactions/check-eligibility/,4.6,Fixed,No,,24,0,0,No,,$4.60 per MCF for the first 24 months  then a monthly variable rate,HK::f1e0a3a86e4625a1575286b4f932d0a6ea0d8572,Eastern Power and Gas LLC,4.6,24,0
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,TX,77002,(855) 585-3935,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,https://www.constellation.com/solutions/for-your-small-business.html,5.31,Fixed,No,,24,150,0,No,,This offer is limited to small business customers of {LDC}.  This rate is only available over the phone. Please call us at 855-585-3935 to enroll.,HK::b2213a62f8ede99d308af22fa86779f4638517d2,Constellation NewEnergy-Gas Division LLC,5.31,24,150
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,6.09,Fixed,No,,6,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,6.09,6,0
Provision,Energy 95 LLC,P.O. Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/03/04.pdf,https://www.getprovision.com/enroll-step-2/?utility=DEO,7.59,Fixed,No,,12,0,0,No,,$7.59/mcf fixed for 12 months,HK::1d4b151f9a8a4743cbda01caacf8e212ab231f57,Provision,7.59,12,0
Vista Energy Marketing LP,Vista Energy Marketing LP,4306 Yoakum Blvd.,Suite 600,HOUSTON,TX,77006,(888) 508-4782,www.vistaenergymarketing.com,https://vistaenergymarketing.com/documents/efls/OH_Gas_Residential_TOS_Variable_030117.pdf,https://vistaenergymarketing.com/residential/deo/deo-value-plan/,9.49,Variable,No,,1,0,0,No,,A variable-rate natural gas plan that lets you take advantage of seasonal pricing.,HK::200a11c27e0fd6dbb93a9a345ce4a7cff21bfc52,Vista Energy Marketing LP,9.49,1,0
Advantage Energy Partners  LLC,Advantage Energy Partners  LLC,7793 Pittsburg Ave NW,,North Canton,OH,44720-6947,(877) 263-0970,www.advantageenergypartners.com,www.advantageenergypartners.com,www.advantageenergypartners.com,5.19,Variable,No,,1,0,0,No,,,HK::fd54e42b1429d97251fc4f52dc894f75ab7f5fcc,Advantage Energy Partners  LLC,5.19,1,0
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(810) 765-8903,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,4.74,Fixed,No,,12,20,0,No,,WE DO NOT SERVICE DOMINION WEST OHIO.,HK::218d673b6396cf8f257cdd06a6cf1f39ff1eba08,My Choice Energy LLC,4.74,12,20
Symmetry Energy Solutions LLC,Symmetry Energy Solutions LLC,PO BOX 802467,,Houston,TX,77280,(888) 200-3788,http://www.symmetryenergy.com/choice,http://www.symmetryenergy.com/choice,https://symmetryenergy.com/enroll/,5.35,Fixed,No,,24,0,0,Yes,Symmetry Rewards 24,Looking for a product that provides rate security and stability? Then choose the Symmetry Fixed Price product. With the Symmetry Fixed Price product your natural gas commodity rate will not change for the term of your contract. You can enjoy peace of mind knowing exactly what your natural gas rate will be regardless of any increasing costs of natural gas in the market,HK::3a0f668368a5a93b4699c7be9c223273951d08fd,Symmetry Energy Solutions LLC,5.35,24,0
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,www.directenergy.com,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://www.directenergy.com/en/business/small-business,6.09,Fixed,No,,12,0,0,No,,New Customers Only,HK::a5ed6597690cf401e428d20fb2462420e597a9b7,Direct Energy Services LLC,6.09,12,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=04&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=04&ldcCode=DEO,5.17,Fixed,No,,12,25,0,No,,Commercial customers only,HK::ac1987173804455ef62ed894d81df8aa95813569,Ohio Natural Gas,5.17,12,25
