SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,0.959,Fixed,No,,12,12.5,0,No,Offset your Carbon Footprint by making your gas usage Carbon Neutral. Sign up with Greener Life from Ohio Natural Gas today!  ,Sign up with Greener Life from Ohio Natural Gas today!  ,HK::ac1987173804455ef62ed894d81df8aa95813569,Ohio Natural Gas,0.959,12,12.5
NRG Home,Reliant Energy Northeast LLC,P.O. Box 38781,,Philadelphia,PA,19104,(855) 500-8703,https://www.picknrg.com/en/lp/mp/ohio-choice.html,https://www.picknrg.com/en/lp/mp/ohio-choice.html,https://www.picknrg.com/en/lp/mp/ohio-choice.html,0.899,Fixed,No,,1,0,0,Yes,A month-to-month variable-price plan featuring a $15 enrollment bonus after 3 months of  active service  and 1% cash back annually for every $1 spent on the supply portion of monthly  residential natural gas bills. The account must be active for 12 c,$15 enrollment bonus after 3 months of active service  and 1% cash back annually. New Customers Only.,HK::d95cf332bdf0975ae90011bc62da80a41b044273,NRG Home,0.899,1,0
Energy Harbor LLC,Energy Harbor LLC,168 East Market Street,,Akron,OH,44308,(855) 487-0822,https://energyharbor.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.energyharbor.com/cust/?PID=0DEA5C01-20CA-43D0-A140-21CFC5E8720A&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,https://shopping.energyharbor.com/cust/?PID=0DEA5C01-20CA-43D0-A140-21CFC5E8720A&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,0.639,Fixed,No,,12,0,0,No,,Avoid price swings with a fixed natural gas rate for 12 months. Special offer for new  online customers.,HK::e7ceb54afb97be37f4c9343373a9bf8ac7f4678b,Energy Harbor LLC,0.639,12,0
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,20th Floor,Columbus,OH,43215,(877) 648-1922,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_24,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_24,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_24,0.755,Fixed,No,,24,0,0,Yes,Enroll in this price plan and you’ll receive up to $72 Reward Dollars over the course of the plan to use in AEP Energy Reward Store  our one-stop online marketplace filled with a variety of energy-saving products for your home  available exclusively for AEP Energy customers!  Offer is valid for both new and existing customers. For more information  visit AEPenergyrewardstore.com. ,This offer is limited to residential customers of Columbia Gas of Ohio and is valid for both new and existing customers. ,HK::c075a66e3ac88494f1f04bcd41ce610064de4ce4,AEP Energy Inc,0.755,24,0
Energy Harbor LLC,Energy Harbor LLC,168 East Market Street,,Akron,OH,44308,(855) 487-0822,https://energyharbor.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.energyharbor.com/cust/?PID=18323422-FB3D-441C-81E7-0D429389FDE7&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,https://shopping.energyharbor.com/cust/?PID=18323422-FB3D-441C-81E7-0D429389FDE7&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=788E701F-2136-4D57-AE6E-FBED1F7E5B86&RFID=PUCO&PUC=1&STATE=OH&SN=EH&CT=G&PromoCode=RATEBOARD,0.639,Fixed,No,,24,0,0,No,,Avoid price swings with a fixed natural gas rate for 24 months. Special offer for new  online customers.,HK::e7ceb54afb97be37f4c9343373a9bf8ac7f4678b,Energy Harbor LLC,0.639,24,0
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,0.789,Fixed,No,,12,0,0,No,,Making an impact has never been easier - Choose Shipley’s Carbon Neutral Gas offer to offset 100% of your home's natural gas emissions. No monthly fees and no cancellation fees. Plus lock in this low fixed rate today and you’ll earn 3% REWARDS through Shipley Energy's Rewards Program. For New Customers Only.,HK::b8bfbbd2ccba74f85297603c8aec35e153d7528a,Shipley Choice  LLC,0.789,12,0
Utility Gas and Power,LE Energy LLC,2680 CORPORATE PARK DR,STE 100,Opelika,AL,36801,(855) 747-4931,www.utilitygasandpower.com,https://www.utilitygasandpower.com/gas-tc,https://www.utilitygasandpower.com/enroll?referral=a2a&rate=4.99-12mos,0.499,Fixed,No,,12,150,0,No,,Guaranteed fixed rate for 12 months and UGP Price Protection!,HK::fc1fc8f2a02cf66ba7dddac8e3c8faeca6fceb67,Utility Gas and Power,0.499,12,150
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/columbia-gas-ohio-res/,https://mercuryenergyohio.com/columbia-gas-ohio-res/,0.718,Fixed,No,,18,0,0,No,,,HK::660cd8da349881477c53a505ef476037d1465315,Mercury Energy Marketing LLC,0.718,18,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/applecoh,https://www.ohionaturalgas.com/applecoh,0.899,Fixed,No,,6,12.5,0,Yes,Mention Promo Code APPLECOH. ,Mention Promo Code APPLECOH.  ,HK::b25c4db4148ec87a24c534844dda3ac46f07f793,Ohio Natural Gas,0.899,6,12.5
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,TX,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_SVC_DUAL_FP_IPAD_ENG_V11_JUL_10_20.pdf,https://justenergy.com/ohapplestoapples/,0.817,Fixed,No,,36,50,0,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,HK::9d75a17cb0308ed8402c9f3a41ac88738facea92,Just Energy,0.817,36,50
Ambit Northeast  LLC,Ambit Northeast  LLC,P.O. Box 864589,0,Plano,TX,75086,(877) 282-6248,https://www.ambitenergy.com/?rfid=PUCO,https://www.ambitenergy.com/?rfid=PUCO,https://www.ambitenergy.com/?rfid=PUCO,0.85,Fixed,No,,12,0,0,No,,Receive $50 in Reward Dollars each month on this fixed rate term plan. Only available to new Ambit customers.,HK::3663222b9faa7eb88932a58a4b5dda3caaebb117,Ambit Northeast  LLC,0.85,12,0
Median Energy Corp,Median Energy Corp,1 lethbridge plaza,ste 2,mahwah,NJ,07430,(888) 316-5443,www.medianenergy.com,https://static1.squarespace.com/static/5773a908e6f2e1fedd359c1b/t/5bbe3234a4222f91c8771369/1539191349399/Median+OH+Terms+and+Conditions+.pdf,http://www.medianenergy.com/sign-up/,0.8,Variable,No,,0,0,0,No,,,HK::42399f625c96f6e69e74c1b05b9894b12fa3d03a,Median Energy Corp,0.8,0,0
Constellation NewEnergy-Gas Division LLC,Constellation NewEnergy-Gas Division LLC,1001 Louisiana Street Ste 23,,Houston,OH,77002,(855) 465-1244,http://www.constellation.com/rateboard,https://www.constellation.com/bin/residential/GetPlanContractPDF?planId=13406,https://www.constellation.com/campaigns/rateboard.html?utm_source=energychoice.ohio.gov&utm_medium=referral,0.639,Fixed,No,,6,150,0,No,,,HK::9129b44459f0f208bf04821dc98147d938cbe12d,Constellation NewEnergy-Gas Division LLC,0.639,6,150
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=7276A82C-3FBF-45DD-A4E7-2D8CD23792F0&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=7276A82C-3FBF-45DD-A4E7-2D8CD23792F0&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.639,Fixed,No,,12,0,0,No,,Get peace of mind with a fixed rate for 12 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,0.639,12,0
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,20th Floor,Columbus,OH,43215,(877) 648-1922,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_36,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_36,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_36,0.729,Fixed,No,,36,0,0,Yes,Enroll in this price plan and you’ll receive up to $108 Reward Dollars over the course of the plan to use in AEP Energy Reward Store  our one-stop online marketplace filled with a variety of energy-saving products for your home  available exclusively for AEP Energy customers!  Offer is valid for both new and existing customers. For more information  visit AEPenergyrewardstore.com. ,This offer is limited to residential customers of Columbia Gas of Ohio and is valid for both new and existing customers. ,HK::c075a66e3ac88494f1f04bcd41ce610064de4ce4,AEP Energy Inc,0.729,36,0
American Power & Gas of Ohio  LLC,American Power & Gas of Ohio  LLC,10601 S Belcher Rd,,Seminole,FL,33777,(888) 669-2365,https://americanpowerandgas.com/?page=2,https://apgwebfiles.blob.core.windows.net/apgpublicsite/OH-COH-G-R-ENGLISH-VARIABLE.pdf,https://americanpowerandgas.com/?page=2,0.519,Variable,Yes,Price is set for first month and variable thereafter.,24,0,0,Yes,Our  25% rebate is available to all of our customers.   We have sent out over $900 000 in rebates. Are you getting one?,Our famous 25% rebate is available to all our customers.   We have sent out over $2 400 000 in rebates this year! Are you getting one?,HK::747697acb93077d3d0fbc1948e64cf79fd820665,American Power & Gas of Ohio  LLC,0.519,24,0
Kratos Gas & Power,United Energy Trading LLC,225 Union Blvd.  Ste. 200,,Lakewood,CO,80228,(800) 296-2203,www.unitedenergytrading.com,www.kratosgp.com,https://ohio.kratosgp.com/,0.459,Variable,No,,1,0,0,Yes,Promo offer $0.459/ccf for one month.  No cancellation fees.,$0.459/ccf promo rate for one month.  ,HK::a633e37debd9b7bce6e08773e3a642e6e43f937a,Kratos Gas & Power,0.459,1,0
South Bay Energy Corp.,South Bay Energy Corp.,54 State Street Suite 804 #7818,,Albany,OH,12207,(877) 724-9010,www.southbayenergy.com,https://southbayenergy.com/t%26c,http://www.southbayenergy.com,0.84261,Variable,No,,1,0,0,No,,,HK::2c72f1696f78734987d34be4656e8afec2622589,South Bay Energy Corp.,0.84261,1,0
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,https://www.directenergy.com/,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-live-brighter-12?msid=5360,0.749,Fixed,No,,12,0,0,No,,New Customers Only,HK::b0e6d16bae1af4fbb1c8513b2df8d81270a027f7,Direct Energy Services LLC,0.749,12,0
Santanna Energy Services,Santanna Natural Gas Corporation,300 E Business Way  Suite 200,,Cincinnati,OH,45241,(866) 325-0225,https://santannaenergyservices.com/offers/?utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=company-url&utm_content=gas&strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3&commodity_type=gas&product_type=fixed-rate,https://santannaenergyservices.com/wp-content/uploads/2024/04/SES_WP_TermsConditions_MM_G_OH_Static_A2A.pdf,https://santannaenergyservices.com/offers/?strategyGuid=e9b3e2a4-e284-43cb-966e-a9887cbe9df1&utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=FLT_3M_COHOHG&utm_content=gas&commodity_type=gas&product_type=unlimited,0,Fixed,No,,3,0,118,Yes,Enter gift card and tech giveaways with Santanna Rewards! After 60 days of billed usage  we’ll make a donation to a nonprofit organization in the Midwest. See website for plan details.,Plans start as low as $118 per month but are tiered by usage. Limits and eligibility apply. Fixed monthly price is only for Santanna’s supply costs. Utility fees and taxes are separate. See website for full plan details and eligibility requirements.,HK::7102884c69702e303590d17a22e7e03d1905e1a6,Santanna Energy Services,0,3,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=COH,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=COH,1.159,Variable,No,,1,0,0,No,,New residential customers only. Variable prices may change or remain the same each month. The February 2026 variable rate is 1.15900/Ccf. ,HK::6ef3592921627f08f9bff96a2835f24516e0553a,Ohio Natural Gas,1.159,1,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/applecoh,https://www.ohionaturalgas.com/applecoh,0.579,Fixed,No,,12,12.5,0,Yes,Mention Promo Code APPLECOH. ,Price offer includes a $25 digital Visa Reward Card! (Promo Code APPLECOH)  ,HK::b25c4db4148ec87a24c534844dda3ac46f07f793,Ohio Natural Gas,0.579,12,12.5
South Bay Energy Corp.,South Bay Energy Corp.,54 State Street Suite 804 #7818,,Albany,OH,12207,(877) 724-9010,www.southbayenergy.com,https://southbayenergy.com/t%26c,http://www.southbayenergy.com,0.84261,Variable,No,,1,0,0,No,,,HK::2c72f1696f78734987d34be4656e8afec2622589,South Bay Energy Corp.,0.84261,1,0
Provision,Energy 95 LLC,P.O. Box 6036,,Austin,TX,78762,(800) 930-5427,https://provisionpg.com/,https://www.getprovision.com/wp-content/uploads/2025/12/1963.pdf,https://www.getprovision.com/enroll-step-2/?utility=COH,0.725,Variable,Yes,$0.725/Ccf first month  then monthly variable rate,1,0,0,Yes,$0.725/Ccf first month  then monthly variable rate,$0.725/Ccf first month  then monthly variable rate,HK::7683fdfc05c670a544eaa0d329ba7666e6055b35,Provision,0.725,1,0
Santanna Energy Services,Santanna Natural Gas Corporation,300 E Business Way  Suite 200,,Cincinnati,OH,45241,(866) 325-0225,https://santannaenergyservices.com/offers/?utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=company-url&utm_content=gas&strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3,https://santannaenergyservices.com/wp-content/uploads/2024/04/SES_WP_TermsConditions_MM_G_OH_Static_A2A.pdf,https://santannaenergyservices.com/offers/?strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3&utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=FIX_12M_T1_COHOHG&utm_content=gas,0.4896,Fixed,No,,12,100,0,Yes,Enter gift card and tech giveaways with Santanna Rewards! THIS PRODUCT IS ONLY AVAILABLE FOR NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,Fixed Price 12-month initial term. ONLY AVAILABLE TO NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,HK::7102884c69702e303590d17a22e7e03d1905e1a6,Santanna Energy Services,0.4896,12,100
Kiwi Energy,Kiwi Energy NY LLC,144 North 7th #417,,Brooklyn,NY,11222,(877) 208-7636,www.kiwienergy.us,www.kiwienergy.us,www.kiwienergy.us,0.699,Variable,Yes,Price is set for first month and variable thereafter.,36,0,0,No,,Zero Gas 100 is a month-to-month variable rate product for 36 months  matches 100% of usage with Carbon Offsets and no cancellation fees. Customers receive $25 in Kiwi Rewards Dollars each month. No guaranteed savings,HK::b943989ca494038eeb8002091caeca387a793cc7,Kiwi Energy,0.699,36,0
nTherm  LLC,nTherm  LLC,1321 Upland Dr #19675,,Houston,TX,77043,(888) 865-3402,www.ntherm.com,https://www.ntherm.com/sites/default/files/2023-12/oh_gas_tos.pdf,www.ntherm.com,0.729,Variable,Yes,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,1,0,0,No,,20% rebate on the average months energy supply cost after 12 consecutive months with nTherm  llc as the Competitive Retail Natural Gas Supplier,HK::672db797cbecac11d0e336e4ffff1faa303076a5,nTherm  LLC,0.729,1,0
Kiwi Energy NY LLC,Kiwi Energy NY LLC,144 N 7th Street  #417,,Brooklyn,NY,11211,(877) 208-7636,www.kiwienergy.us,www.kiwienergy.us,www.kiwienergy.us,0.699,Variable,Yes,Price is set for first month and variable thereafter.,36,0,0,Yes,Kiwi offers customers  membership to the Spring Loyalty Program. Earn Cash Back or redeem Spring Rewards.,Zero Gas 50 is a month-to-month variable rate product for 36 months  matches 50% of usage with Carbon Offsets and no cancellation fees. Customers receive $100 in Ecogold Rewards Dollars each month. No guaranteed savings  your rate may go up or down each month and may be higher than utility. See terms and conditions for more details.,HK::9da23ed320aa2b336e6783e2bf3b4620df4357d7,Kiwi Energy NY LLC,0.699,36,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,0.959,Fixed,No,,6,12.5,0,No,Offset your Carbon Footprint by making your gas usage Carbon Neutral. Sign up with Greener Life from Ohio Natural Gas today!,Sign up with Greener Life from Ohio Natural Gas today. ,HK::ac1987173804455ef62ed894d81df8aa95813569,Ohio Natural Gas,0.959,6,12.5
My Choice Energy LLC,Foster Energy Services LLC,470 Olde Worthington Road,,Columbus,OH,43082,(888) 505-9104,www.fostermychoice.com,www.fostermychoice.com,www.fostermychoice.com,0.759,Fixed,No,,12,10,0,No,,,HK::218d673b6396cf8f257cdd06a6cf1f39ff1eba08,My Choice Energy LLC,0.759,12,10
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,https://www.directenergy.com/,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-state-fixed?msid=5360,0.759,Fixed,No,,6,0,0,No,,New Customers Only,HK::d683654e28851dbf0e370b89a788592703f157e2,Direct Energy Services LLC,0.759,6,0
Just Energy,Just Energy Solutions Inc,5251 Westheimer Rd,Suite 1000,Houston,TX,77056,(866) 239-5107,https://justenergy.com/ohapplestoapples/,https://doc-service-prd-webapp01.azurewebsites.net/files/US.OH/TOS/OH_PRICE_GUARD_PLAN_TnC_ENG_V01_AUG_16_2023.pdf,https://justenergy.com/ohapplestoapples/,0.589,Fixed,No,,60,50,19.99,Yes,Secure your rate with our offer. It guarantees your monthly energy rate will always be the same throughout the term of your agreement  and there is no cost to sign up. For New Customers Only.,Enjoy rate reliability with our fixed-price energy plan. For New Customers Only.,HK::1cd47c4866ad11a74f859c6c85d01fea1aebba3d,Just Energy,0.589,60,50
